service_id,route_id,trip_id,direction_id,trip_headsign,block_id
SU,BLUE,SU_17682,0,Raidurg,SU_31201
SU,BLUE,SU_17683,1,Nagole,SU_31201
SU,BLUE,SU_17684,0,Raidurg,SU_30101
SU,BLUE,SU_17685,1,Nagole,SU_30101
SU,BLUE,SU_17686,0,Raidurg,SU_30201
SU,BLUE,SU_17687,1,Nagole,SU_30201
SU,BLUE,SU_17688,0,Raidurg,SU_30301
SU,BLUE,SU_17689,1,Nagole,SU_30301
SU,BLUE,SU_17690,0,Raidurg,SU_31301
SU,BLUE,SU_17691,1,Nagole,SU_31301
SU,BLUE,SU_17692,0,Raidurg,SU_30401
SU,BLUE,SU_17693,1,Nagole,SU_30401
